Model,Data,RMSE,MAE,MAPE
GANN,Latih,54.54,40.8,0.59
GANN,Uji,55.67,43.09,0.62
GADAM,Latih,53.88,40.54,0.59
GADAM,Uji,55.93,43.6,0.62
ADAM,Latih,146.19,119.56,1.72
ADAM,Uji,186.0,158.89,2.24
