Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.7286253054849267, -0.4946349147416926, 0.87721658418745, 0.13320415202667635, -0.4019896165743234], [-0.7901298139049384, 0.2902674990843374, 0.4479465632636652, 0.8249697127904378, -1.0315398968526888]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.12482048584555658], [1.1230831641532524], [-0.007763602370260742], [1.0456992255276758], [0.41015503999806235]]",[0.0]
2,"[[0.42415935934310367, -0.877273268251943, 1.4055651654360304, -0.17604074147086496, -0.5837996717431322], [0.4736375148617201, 0.14745894695704137, -1.0501304891567884, -0.18863750756148914, 0.7179892766315232]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[1.3376481290968818], [-0.06013865750621093], [-0.43886135053347974], [0.24791194745877512], [-0.38808119663958446]]",[0.0]
3,"[[-0.06831630239502291, 0.2795055654427591, -0.3091261268752498, -0.9542472159328629, 0.014364921935113018], [-0.042633263665779686, 0.0334401139975052, 0.31039374543236276, -1.021505985189731, 1.043978227248236]]","[0.0, 0.0, 0.0, -0.0005376865838613362, 0.0]","[[-0.1312841317222898], [0.5659410434710324], [0.5667622206388234], [1.2210117270268592], [0.7639846544779284]]",[0.0]
4,"[[1.5353138674302538, 0.1869060793176096, 0.4393730472249987, -0.5742330158799576, 0.764310273092042], [-0.6667051766468964, 0.7972589582233256, 0.6446191142751905, -0.8771678049747933, -0.3896805545760995]]","[0.0, 0.0, 0.021507772250789953, 0.0, 0.0]","[[0.019977417298143747], [0.9281548790521936], [0.1563091743354022], [-0.4217231047317352], [-0.28648350805150524]]",[0.0]
