Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.07188004251285215, -0.19242379158745485, 0.397659834225487, -0.06331216363067996, 0.3903727536231181], [0.6116928842531046, -0.07578292933784753, -0.20622452924590162, 0.6725206094684462, 0.6464383733016774]]","[0.0, 0.0, 0.0, 0.0, 0.19766437840737983]","[[0.9510696259618877], [0.733989761597958], [0.4835228119539694], [0.4761252244975882], [0.08538959177439674]]",[0.0]
2,"[[0.04093555495428168, 0.3407520257097659, -0.7885917615385722, 0.031106171730936414, -0.6740208078356862], [0.4173904092978906, 1.1024306700762612, 0.27429226809042845, -0.6247028776911026, 0.6245546690605068]]","[0.0, 0.0, 0.0, 0.1759983083422953, 0.013663557291802086]","[[0.008540875759340788], [0.6797918746825815], [-0.7555593811649879], [0.15647994980737515], [0.37218240379732553]]",[0.0]
3,"[[-0.24228289715784335, 0.19051144517494217, -0.04306355029562006, 0.019707492325170144, -0.7231229248713479], [-0.3157828473405573, 0.1636508496860022, 0.03804541120917996, 1.0967242225644869, 0.19813536907581936]]","[0.0714801501093293, 0.0, 0.0, 0.0, 0.0]","[[0.5648338922324188], [0.38447051344882766], [0.19100903238736755], [0.7683374625646446], [-0.6627902994602659]]",[0.0]
4,"[[-0.10489990860672713, -0.08209067813562518, 1.3338526421830017, -0.3826216520646648, -0.3273491976260326], [0.579305226671493, 1.3285295076381791, 0.7214900372219725, 1.5891849467433106, 0.15588223561728037]]","[0.0, 0.0, 0.10998657247814564, 0.0, 0.0]","[[0.753683143805385], [-0.05607086433150382], [0.1776034736351405], [0.24816591386112408], [-0.30142106185585127]]",[0.0]
