Model,Data,RMSE,MAE,MAPE
GANN,Latih,54.04,40.41,0.58
GANN,Uji,59.59,45.23,0.65
GADAM,Latih,53.76,40.38,0.58
GADAM,Uji,58.04,44.26,0.63
ADAM,Latih,90.16,72.68,1.04
ADAM,Uji,114.54,93.7,1.32
