X_1,X_2,y_target,Tanggal
0.7562110356377514,0.7894163155165177,0.6952903800395196,2023-12-11
0.7894163155165177,0.6952903800395196,0.7438354889735684,2023-12-12
0.6952903800395196,0.7438354889735684,0.6774116364698882,2023-12-13
0.7438354889735684,0.6774116364698882,0.8112430046922318,2023-12-14
0.6774116364698882,0.8112430046922318,0.8311422456764231,2023-12-15
0.8112430046922318,0.8311422456764231,0.7361389889536304,2023-12-18
0.8311422456764231,0.7361389889536304,0.8269683233858184,2023-12-19
0.7361389889536304,0.8269683233858184,0.8692658416301065,2023-12-20
0.8269683233858184,0.8692658416301065,0.8559066317509391,2023-12-21
0.8692658416301065,0.8559066317509391,0.8929933935050456,2023-12-22
0.8559066317509391,0.8929933935050456,0.8929933935050456,2023-12-26
0.8929933935050456,0.8929933935050456,0.9041593002697221,2023-12-27
0.8929933935050456,0.9041593002697221,0.9812173496921424,2023-12-28
0.9041593002697221,0.9812173496921424,0.9398902019166887,2023-12-29
0.9812173496921424,0.9398902019166887,1.0074040596045393,2024-01-02
0.9398902019166887,1.0074040596045393,0.948251339244048,2024-01-03
1.0074040596045393,0.948251339244048,1.0554839224233927,2024-01-04
0.948251339244048,1.0554839224233927,1.043334352443732,2024-01-05
1.0554839224233927,1.043334352443732,0.9542197822646906,2024-01-08
1.043334352443732,0.9542197822646906,0.8433848648791226,2024-01-09
0.9542197822646906,0.8433848648791226,0.8794082069413549,2024-01-10
0.8433848648791226,0.8794082069413549,0.8696513312684108,2024-01-11
0.8794082069413549,0.8696513312684108,0.8978053676107753,2024-01-12
0.8696513312684108,0.8978053676107753,0.8750216007123744,2024-01-15
0.8978053676107753,0.8750216007123744,0.899998670725265,2024-01-16
0.8750216007123744,0.899998670725265,0.8439564529635053,2024-01-17
0.899998670725265,0.8439564529635053,0.913530686304362,2024-01-18
0.8439564529635053,0.913530686304362,0.8795411344028384,2024-01-19
0.913530686304362,0.8795411344028384,0.9068311422455558,2024-01-22
0.8795411344028384,0.9068311422455558,0.9178641215487476,2024-01-23
0.9068311422455558,0.9178641215487476,0.8800994297410724,2024-01-24
0.9178641215487476,0.8800994297410724,0.8139281394142129,2024-01-25
0.8800994297410724,0.8139281394142129,0.7594943439364127,2024-01-26
0.8139281394142129,0.7594943439364127,0.7861861782024501,2024-01-29
0.7594943439364127,0.7861861782024501,0.83277725345268,2024-01-30
0.7861861782024501,0.83277725345268,0.8536734503980032,2024-01-31
0.83277725345268,0.8536734503980032,0.8453787768013864,2024-02-01
0.8536734503980032,0.8453787768013864,0.894681572265895,2024-02-02
0.8453787768013864,0.894681572265895,0.8412846109876716,2024-02-05
0.894681572265895,0.8412846109876716,0.9061399194458372,2024-02-06
0.8412846109876716,0.9061399194458372,0.8898430126678678,2024-02-07
0.9061399194458372,0.8898430126678678,0.9729492615878216,2024-02-12
0.8898430126678678,0.9729492615878216,0.85606614470472,2024-02-13
0.9729492615878216,0.85606614470472,0.9804064921770876,2024-02-15
0.85606614470472,0.9804064921770876,1.023288891251907,2024-02-16
0.9804064921770876,1.023288891251907,0.971659865211424,2024-02-19
1.023288891251907,0.971659865211424,1.0459663161811206,2024-02-20
0.971659865211424,1.0459663161811206,1.0412075130599845,2024-02-21
1.0459663161811206,1.0412075130599845,1.0287389171727617,2024-02-22
1.0412075130599845,1.0287389171727617,0.9695330258276768,2024-02-23
1.0287389171727617,0.9695330258276768,0.9545388081722525,2024-02-26
0.9695330258276768,0.9545388081722525,0.9565327200945162,2024-02-27
0.9545388081722525,0.9565327200945162,1.0141168964094942,2024-02-28
0.9565327200945162,1.0141168964094942,0.9974610854855168,2024-02-29
1.0141168964094942,0.9974610854855168,0.9918781321031785,2024-03-01
0.9974610854855168,0.9918781321031785,0.9451408366453163,2024-03-04
0.9918781321031785,0.9451408366453163,0.9062063831765795,2024-03-05
0.9451408366453163,0.9062063831765795,1.0156588549627112,2024-03-06
0.9062063831765795,1.0156588549627112,1.074359621954156,2024-03-07
1.0156588549627112,1.074359621954156,1.0849273551421537,2024-03-08
1.074359621954156,1.0849273551421537,1.1371678475054643,2024-03-13
1.0849273551421537,1.1371678475054643,1.153252070345059,2024-03-14
1.1371678475054643,1.153252070345059,1.0133326243867369,2024-03-15
1.153252070345059,1.0133326243867369,0.9793031942467685,2024-03-18
1.0133326243867369,0.9793031942467685,1.0248973135358665,2024-03-19
0.9793031942467685,1.0248973135358665,1.0174267902004517,2024-03-20
1.0248973135358665,1.0174267902004517,1.027024152919615,2024-03-21
1.0174267902004517,1.027024152919615,1.0427095933747554,2024-03-22
1.027024152919615,1.0427095933747554,1.0794108654905579,2024-03-25
1.0427095933747554,1.0794108654905579,1.063326642650963,2024-03-26
1.0794108654905579,1.063326642650963,0.9894588523041656,2024-03-27
1.063326642650963,0.9894588523041656,0.9611718885003174,2024-03-28
0.9894588523041656,0.9611718885003174,0.8498451395072579,2024-04-01
0.9611718885003174,0.8498451395072579,0.8922755852130295,2024-04-02
0.8498451395072579,0.8922755852130295,0.7990402637279772,2024-04-03
0.8922755852130295,0.7990402637279772,0.9154315490035859,2024-04-04
0.7990402637279772,0.9154315490035859,0.9586063884936711,2024-04-05
0.9154315490035859,0.9586063884936711,0.7963418362598472,2024-04-16
0.9586063884936711,0.7963418362598472,0.7511863775936471,2024-04-17
0.7963418362598472,0.7511863775936471,0.7990003854895322,2024-04-18
0.7511863775936471,0.7990003854895322,0.6933363463557008,2024-04-19
0.7990003854895322,0.6933363463557008,0.6753911390553271,2024-04-22
0.6933363463557008,0.6753911390553271,0.7245610070583521,2024-04-23
0.6753911390553271,0.7245610070583521,0.8092623855161155,2024-04-24
