Model,Data,RMSE,MAE,MAPE
GANN,Latih,54.14,40.8,0.59
GANN,Uji,60.44,44.83,0.64
GADAM,Latih,53.83,40.7,0.59
GADAM,Uji,60.91,45.46,0.65
ADAM,Latih,104.4,85.68,1.23
ADAM,Uji,141.66,117.28,1.65
