Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.8132006404112387, 0.9152754397774463, 0.04277050578252031, -0.2644130805596102, -0.5117155780114562], [0.4224603969706209, -0.270182896309345, 0.0867701269184673, 1.6141798403600665, -0.4252167744599413]]","[0.0, 0.0, 0.0, 0.023810343118067137, 0.0]","[[0.3310403037485071], [0.1518450398851271], [0.465157628392604], [0.6043044342246637], [-0.24092004852838522]]",[0.0]
2,"[[-0.1792778021393315, -0.6366666113099352, 0.48587912899965274, -0.7419880018838501, -0.2411560323357377], [0.9476428223547366, 0.3573095967005533, 0.3924971750499319, -0.1355171518523649, -0.4772300367558705]]","[0.0, 0.0, 0.0029886521786582033, 0.0, 0.0]","[[0.8164316031218393], [-0.14190331461686934], [0.4103748979170665], [-0.4557296244481285], [0.8480397795390904]]",[1.8618240471944356e-05]
3,"[[0.6484868688777088, -0.3715676840888179, -0.05897033444210448, 0.5853968509319948, -0.018434262261037532], [0.18842272272243127, 0.6973512295327313, -1.4141014394558615, 0.4510007630521206, -0.24567567247928404]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.10324457166288978], [1.0427186797632886], [-0.3172931526737215], [0.5481107676345603], [-0.22069202336661065]]",[0.0]
4,"[[-0.4068097539482579, -0.07573988243981411, -0.5557495947322936, -0.07634100176386528, 0.15876147035482624], [-0.29839217540521024, 1.2221987481430134, -0.8241666842370405, -0.8315583411302689, 0.22075800679634233]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[-0.748782202845887], [0.6384284069587356], [-0.25623556929830593], [0.9751919756733788], [0.6949052302604659]]",[0.0]
