Model,Data,RMSE,MAE,MAPE
GANN,Latih,54.14,40.32,0.58
GANN,Uji,73.64,50.13,0.73
GADAM,Latih,53.83,40.45,0.58
GADAM,Uji,73.41,50.51,0.73
ADAM,Latih,161.31,130.93,1.87
ADAM,Uji,217.73,180.66,2.52
