Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.07188004251285215, -0.19242379158745485, 0.397659834225487, -0.06331216363067996, 0.3903727536231181], [0.6116928842531046, -0.07578292933784753, -0.20622452924590162, 0.6725206094684462, 0.6464383733016774]]","[0.0, 0.0, 0.0, 0.0, 0.19766437840737983]","[[0.9510696259618877], [0.733989761597958], [0.4835228119539694], [0.4761252244975882], [0.08538959177439674]]",[0.0]
2,"[[0.14830591644097918, -0.025149988557258376, -0.29310162608591483, 0.4250403359030377, -1.2053917657326223], [0.8897229892680891, -0.8952403570945516, 0.11054588219760969, 0.648542357036005, 0.11720770585355486]]","[0.0, 0.07305122940738942, 0.0493730766365972, 0.0, 0.0]","[[0.7454061377157702], [0.7448395083350408], [0.6232421513984907], [0.19625983016817483], [2.868088311691679]]",[0.0]
3,"[[-0.21054687387008922, -0.946055689321569, 0.46632690991427017, 0.09163812951096502, 0.497767053990518], [-0.07054183420603166, 0.05707891656670755, 0.24996361354529123, -0.6551129950264944, 1.3058290710985017]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[-0.522771897375951], [0.7279683726139754], [-0.3117108625684389], [0.0021283039645877133], [0.673814363701549]]",[0.0]
4,"[[0.764032489283352, -0.767681889415677, -0.8351179195357492, 1.7316548838269452, 0.694943257033322], [0.4817183458872194, 0.7647808489728538, -0.06546926824234206, -0.5305147426714066, 0.23648175839585636]]","[0.0, 0.0, 0.0779428339516669, 0.0, 0.0]","[[0.45843763401906173], [0.3015254475262661], [0.9493100533228351], [-0.5474285205681592], [1.1460714033393926]]",[0.004140538943222144]
