Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[0.017250077475111168, -0.02839490168709002, 0.2587947888576655, -0.5304387848902122, -0.34325088491710637], [-0.07690460316642733, 0.4544541019156925, 0.5153392547335728, 0.5976430168955298, -0.17295647347096627]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.5253958782938581], [1.0617587917692104], [0.7043588788499082], [0.014528701560508932], [-0.5019470623077076]]",[0.0]
2,"[[0.17060179449322924, -0.25553834394414654, -0.5235776562508738, 0.04531283654538154, 0.23347345832644528], [0.33929642313697767, 0.5557519049391655, -0.49780360446696587, 0.5605377846910411, 0.5380074899193956]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[-0.6014118564973923], [0.36437177945804416], [-0.16088689639889436], [1.1448538260029233], [0.6465200147281016]]",[0.0]
3,"[[0.11402996854493028, 0.6794919262122661, -0.29018154620461256, 0.5387827812860273, -0.47463004797523883], [-0.24712878004381125, 0.3857961080687872, -0.385885423124142, 0.583770107255869, 1.2052189269840545]]","[0.024716165368697463, 0.0, 0.0, 0.0, 0.0]","[[1.0866115590240848], [0.5378930922850924], [0.17871041844220142], [0.015611419382312766], [0.5530189593901128]]",[0.0]
4,"[[0.6579265836636443, -0.9321039498845614, 0.3751927047601071, 0.2527098840569093, -0.7936685808597959], [1.2249805614885665, -0.04764282272565534, -0.43551463211940333, 0.7512515511801683, 0.7454867400497281]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.39037050647895133], [0.591056068911137], [-0.7989168122752808], [0.2532404561683328], [0.7442048515481959]]",[0.0]
