Model,Data,RMSE,MAE,MAPE
GANN,Latih,54.29,40.64,0.59
GANN,Uji,66.68,47.54,0.68
GADAM,Latih,53.86,40.57,0.59
GADAM,Uji,67.06,48.01,0.69
ADAM,Latih,109.27,87.85,1.26
ADAM,Uji,202.36,168.78,2.33
