Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.29289693321422117, 0.14324470030830055, -0.8437039546520505, -0.43858396250407505, -1.0203993079374467], [0.7306420586101766, 0.6524467341627662, -0.543277313043778, -0.9923765115354386, 0.39717032657430335]]","[0.0, 0.0, -0.04666416917544931, 0.22007949208513444, 0.0]","[[0.4391546988937137], [0.9975398727519198], [0.49489097916895275], [0.474201021153635], [-0.505421531172725]]",[0.0]
2,"[[1.0139044803349693, 0.5702095754631301, -0.7039183527805866, -0.21801363260109108, 0.005757705537969317], [0.6483344304528562, 0.38213119891223246, 0.4359685663637859, 1.426434144304773, 0.49213170684814966]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.18711959828579935], [-0.012491483332296237], [0.9726183729413622], [0.32665947755053537], [0.5953839215590297]]",[0.0]
3,"[[-0.5036628839824906, 0.6372476618618406, -0.044407635771058065, 0.5831550520379207, 0.10290791859643375], [-0.4334670614945351, 0.2836521574850161, -0.5075638399372937, -0.6780250129342229, 0.6891792512655514]]","[-0.06874159593436742, -0.1084551433229674, 0.10627757738116321, 0.0, 0.0]","[[0.07692508548261245], [-0.03205797765717691], [0.4771362428303374], [-0.3148711012185271], [1.2839941935892543]]",[0.0]
4,"[[0.39567479676381145, 0.18687630303159108, -0.540585399292308, -0.17806238914728556, -0.4895907245310519], [0.40914127959125857, -0.11039703835064923, -0.04798165218105952, 0.05474499617018215, 1.411884862556942]]","[0.0, 0.0, 0.13720638155507092, 0.12016150517839763, 0.0]","[[0.7513663271564215], [0.09105072516734039], [0.03516221239743511], [0.14599200552987335], [0.40422747755224253]]",[0.0]
