Model,Data,RMSE,MAE,MAPE
GANN,Latih,53.77,40.56,0.59
GANN,Uji,60.6,45.32,0.65
GADAM,Latih,53.6,40.49,0.59
GADAM,Uji,60.62,45.29,0.65
ADAM,Latih,113.8,90.62,1.3
ADAM,Uji,146.4,125.81,1.77
