Tanggal,Close_Asli,Close_Normalisasi
2022-01-03,6665.31,0.1147790405495623
2022-01-04,6695.37,0.14942714216554698
2022-01-05,6662.3,0.11130961986213304
2022-01-06,6653.35,0.10099356831645567
2022-01-07,6701.32,0.15628529933837154
2022-01-10,6691.12,0.14452845847067217
2022-01-11,6647.97,0.09479241107447282
2022-01-12,6647.06,0.09374351644804096
2022-01-13,6658.36,0.10676825191911908
2022-01-14,6693.4,0.14715645819404
2022-01-17,6645.05,0.09142672721822932
2022-01-18,6614.06,0.055706678346659926
2022-01-19,6591.98,0.03025657576246219
2022-01-20,6626.87,0.07047188731874089
2022-01-21,6726.37,0.18515871735169281
2022-01-24,6655.17,0.10309135756931938
2022-01-25,6568.17,0.0028124207565875486
2022-01-26,6600.82,0.04044583784780201
2022-01-27,6611.16,0.052364047119568234
2022-01-28,6645.51,0.09195693768873346
2022-01-31,6631.15,0.07540514995734396
2022-02-02,6707.65,0.1635814564650909
2022-02-03,6683.85,0.1361488277737927
2022-02-04,6731.39,0.1909449272689337
2022-02-07,6804.94,0.2757209709767079
2022-02-08,6789.52,0.25794739390024535
2022-02-09,6834.61,0.30991954632422236
2022-02-10,6823.64,0.29727517923415797
2022-02-11,6815.61,0.2880195486294878
2022-02-14,6734.49,0.19451808478754765
2022-02-15,6807.5,0.2786717075082094
2022-02-16,6850.2,0.32788907074848106
2022-02-17,6835.12,0.3105073883676076
2022-02-18,6892.82,0.3770142234721433
2022-02-21,6902.96,0.3887019064523862
2022-02-22,6861.99,0.34147859563379257
2022-02-23,6920.06,0.40841190437764774
2022-02-24,6817.82,0.2905668641508228
2022-02-25,6888.17,0.3716544871942219
2022-03-01,6921.44,0.41000253578915913
2022-03-02,6868.4,0.3488669632771213
2022-03-04,6928.33,0.41794416653214483
2022-03-07,6869.07,0.3496392263537252
2022-03-08,6814.18,0.28637128564509534
2022-03-09,6864.44,0.3443025427049555
2022-03-10,6924.01,0.4129647986352371
2022-03-11,6922.6,0.41133958827999645
2022-03-14,6952.2,0.445457479425477
2022-03-15,6918.19,0.4062564835519019
2022-03-16,6992.4,0.4917932640217046
2022-03-17,6964.38,0.45949653057925977
2022-03-18,6954.96,0.4486387422485018
2022-03-21,6955.18,0.448892321169178
2022-03-22,7000.82,0.5014984208948449
2022-03-23,6996.12,0.4960810530440424
2022-03-24,7049.69,0.5578275202286173
2022-03-25,7002.53,0.5034694206873711
2022-03-28,7049.6,0.5577237833974326
2022-03-29,7011.69,0.5140275248391482
2022-03-30,7053.19,0.5618617303302789
2022-03-31,7071.44,0.5828972544318002
2022-04-01,7078.76,0.5913345167015618
2022-04-04,7116.22,0.6345120911039174
2022-04-05,7148.3,0.6714885082642902
2022-04-06,7104.22,0.6206805136125061
2022-04-07,7127.37,0.6473639318563533
2022-04-08,7210.83,0.7435625533091189
2022-04-11,7203.79,0.735448027847491
2022-04-12,7214.78,0.7481154475667082
2022-04-13,7262.78,0.8034417575323534
2022-04-14,7235.53,0.7720325503122736
2022-04-18,7275.29,0.8178611770671499
2022-04-19,7199.23,0.7301920284007543
2022-04-20,7227.36,0.7626155513035376
2022-04-21,7276.19,0.8188985453790053
2022-04-22,7225.61,0.7605984462527068
2022-04-25,7215.98,0.7494986053158491
2022-04-26,7232.15,0.7681366559855259
2022-04-27,7196.76,0.7273450287004395
2022-04-28,7228.91,0.7644021300628451
2022-05-09,6909.75,0.3965282740496098
2022-05-10,6819.79,0.29283754812232976
2022-05-11,6816.2,0.2886996011894824
2022-05-12,6599.84,0.03931625901933725
2022-05-13,6597.99,0.037183890822744266
2022-05-17,6644.47,0.09075820097281119
2022-05-18,6793.41,0.2624311302703772
2022-05-19,6823.33,0.29691786348229604
2022-05-20,6918.14,0.40619885197902184
2022-05-23,6840.77,0.3170197561031477
2022-05-24,6914.14,0.40158832614855144
2022-05-25,6883.5,0.36627169828714756
2022-05-27,7026.26,0.5308213651766375
2022-05-30,7037.56,0.5438461006477167
2022-05-31,7148.97,0.672260771340894
2022-06-02,7148.72,0.6719726134764896
2022-06-03,7182.96,0.7114387145853163
2022-06-06,7096.58,0.6118744092763072
