Tanggal,Close_Asli,Close_Normalisasi
2022-08-31,7178.59,0.8621507867008195
2022-09-01,7153.1,0.8261489788422898
2022-09-02,7177.18,0.8601593175332823
2022-09-05,7231.88,0.9374170221178875
2022-09-06,7233.15,0.9392107567581509
2022-09-07,7186.76,0.8736900087566921
2022-09-08,7232.02,0.9376147566451611
2022-09-09,7242.66,0.9526425807179245
2022-09-12,7254.46,0.9693087765880956
2022-09-13,7318.02,1.059080251970135
2022-09-14,7278.08,1.0026694161180476
2022-09-15,7305.6,1.0415383746220397
2022-09-16,7168.87,0.8484223609501361
2022-09-19,7195.49,0.8860201689216568
2022-09-20,7196.95,0.8880822575632205
2022-09-21,7188.31,0.8758792124515029
2022-09-22,7218.91,0.9190983305555045
2022-09-23,7178.58,0.862136662806014
2022-09-26,7127.5,0.7899918081409018
2022-09-27,7112.45,0.7687353464590311
2022-09-28,7077.03,0.7187085110589081
2022-09-29,7036.2,0.6610406485691561
2022-09-30,7040.8,0.6675376401795622
2022-10-03,7009.72,0.623640575124909
2022-10-04,7072.26,0.7119714132368143
2022-10-05,7075.38,0.7163780684160458
2022-10-06,7076.62,0.7181294313718939
2022-10-07,7026.78,0.6477359396626299
2022-10-10,6994.4,0.6020027682832966
2022-10-11,6939.15,0.5239682494844036
2022-10-12,6909.21,0.481681308437547
2022-10-13,6880.63,0.44131521708420113
2022-10-14,6814.53,0.34795627242163363
2022-10-17,6831.12,0.37138781390350956
2022-10-18,6834.49,0.37614756645287173
2022-10-19,6860.42,0.41277082568283224
2022-10-20,6980.65,0.582582412926106
2022-10-21,7017.77,0.6350103104431191
2022-10-24,7053.04,0.6848252874211628
2022-10-25,7048.38,0.6782435524419261
2022-10-26,7043.94,0.6719725431484035
2022-10-27,7091.76,0.7395130081070118
2022-10-28,7056.04,0.6890624558627316
2022-10-31,7098.89,0.7495833451031406
2022-11-01,7052.3,0.6837801192055761
2022-11-02,7015.69,0.6320725403236301
2022-11-03,7034.57,0.6587384537159036
2022-11-04,7045.53,0.6742182424224351
2022-11-07,7102.4,0.7545408321797752
2022-11-08,7050.13,0.6807152340328413
2022-11-09,7070.08,0.7088924041692738
2022-11-10,6966.84,0.5630773142000848
2022-11-11,7089.21,0.735911414931678
2022-11-14,7019.39,0.637298381401566
2022-11-15,7035.5,0.6600519759327903
2022-11-16,7014.38,0.6302223101041458
2022-11-17,7044.99,0.6734555521029528
2022-11-18,7082.18,0.725982316883602
2022-11-21,7063.25,0.6992457840173022
2022-11-22,7030.59,0.6531171435834229
2022-11-23,7054.12,0.6863506680601275
2022-11-24,7080.52,0.7236377503459341
2022-11-25,7053.15,0.6849806502640199
2022-11-28,7017.36,0.6344312307561035
2022-11-29,7012.07,0.6269596904041372
2022-11-30,7081.31,0.7247535380355472
2022-12-01,7020.8,0.6392898505691033
2022-12-02,7019.64,0.6376514787716968
2022-12-05,6987.33,0.5920171746559997
2022-12-06,6892.57,0.4581791474816446
2022-12-07,6818.75,0.35391655602944083
2022-12-08,6804.23,0.33340866077224696
2022-12-09,6715.12,0.2075506341628473
2022-12-12,6734.45,0.23485212282135584
2022-12-13,6810.32,0.3420101127086319
2022-12-14,6801.75,0.32990593486055064
2022-12-15,6751.86,0.2594418236772602
2022-12-16,6812.19,0.3446512810372097
2022-12-19,6779.7,0.29876274681501935
2022-12-20,6768.32,0.282689754526668
2022-12-21,6820.66,0.35661421993723946
2022-12-22,6824.43,0.3619389282788116
2022-12-23,6800.67,0.32838055422158596
2022-12-26,6835.81,0.37801192056716293
2022-12-27,6923.03,0.5012005310583737
2022-12-28,6850.52,0.39878816982565557
2022-12-29,6860.08,0.41229061325945426
2022-12-30,6850.62,0.3989294087737071
2023-01-02,6850.98,0.39943786898669487
2023-01-03,6888.76,0.4527979435608529
2023-01-04,6813.24,0.34613428999175905
2023-01-05,6653.84,0.12099940679640127
2023-01-06,6684.56,0.16438801163806666
2023-01-09,6688.27,0.16962797661080686
2023-01-10,6622.5,0.07673512047681179
2023-01-11,6584.45,0.022993700742913275
2023-01-12,6629.93,0.08722917431709773
2023-01-13,6641.83,0.10403660913532033
2023-01-16,6688.06,0.169331374819897
2023-01-17,6767.34,0.2813056128357561
2023-01-18,6765.79,0.2791164091409453
2023-01-19,6819.91,0.3555549278268472
2023-01-20,6874.93,0.4332645970452206
2023-01-24,6860.85,0.41337815315945753
2023-01-25,6829.93,0.3697070704216878
2023-01-26,6864.82,0.41898533939713273
2023-01-27,6898.98,0.46723256405179653
2023-01-30,6872.48,0.42980424281793833
2023-01-31,6839.34,0.3829976554334086
2023-02-01,6862.26,0.4153696223269947
2023-02-02,6890.57,0.4553543685205987
2023-02-03,6911.73,0.4852405299284641
2023-02-06,6873.79,0.43165447303742394
2023-02-07,6935.3,0.518530549984391
2023-02-08,6940.12,0.5253382672805111
2023-02-09,6897.37,0.46495861698815505
2023-02-10,6880.33,0.440891500240044
2023-02-13,6900.14,0.4688709358492042
2023-02-14,6941.85,0.5277817010818165
2023-02-15,6914.54,0.4892093443687342
2023-02-16,6895.66,0.4625434309764607
2023-02-17,6895.71,0.46261405045048715
2023-02-20,6894.72,0.4612157848647697
2023-02-21,6873.4,0.43110364114001953
2023-02-22,6809.97,0.34151577639044967
2023-02-23,6839.45,0.38315301827626563
2023-02-24,6856.58,0.40734725007762396
