Model,Data,RMSE,MAE,MAPE
GANN,Latih,54.01,40.74,0.59
GANN,Uji,63.99,46.04,0.66
GADAM,Latih,53.73,40.64,0.59
GADAM,Uji,65.47,46.89,0.67
ADAM,Latih,91.14,73.18,1.05
ADAM,Uji,128.11,107.67,1.51
