Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.35830983346867895, 0.9311583679018666, 0.6245918074687631, -0.49420889437467214, 0.2401904677294025], [0.8547130584632276, -0.12253943074206367, 1.2653471648761667, 0.7673057782843347, 0.2343945470012342]]","[0.0, -0.03626925017429977, 0.0, 0.16028168134727241, 0.0]","[[0.11607094135237064], [-0.22805459566716002], [0.540560171073861], [0.18181219906711235], [0.006180527180891238]]",[0.0]
2,"[[-0.5302006540553756, 0.03132419419217896, 0.11603044712830438, -2.265823595422648, -0.3777059900928405], [-0.5237279134869028, 0.50471737170331, 0.08102866473901506, 0.6785796957781389, 1.2837052139910878]]","[0.0, 0.0, 0.3168027067800238, 0.0364044782181567, 0.0]","[[1.079559120444307], [1.572058118424037], [0.07845491120789588], [-0.11045618162289955], [0.09662298683518561]]",[0.0]
3,"[[0.8747532600213254, 0.661124827027243, -0.24900795179237484, -0.10337642239700195, -0.4215593077064952], [0.7065823731990681, 0.30714329281941777, 0.6936888740577432, -1.1961095584487116, 0.2425547323970689]]","[0.0, 0.0, 0.0, 0.11402356562797404, 0.0]","[[0.3379023342640566], [0.07754207703249175], [0.8625192987931078], [0.6954528582650779], [-0.36662679994811087]]",[0.0]
4,"[[0.22642687275502824, -0.6438856083083112, 0.04860894597073531, 0.4724954071120633, -0.41614860854962854], [-0.3575539517213804, 0.14426442870768463, -0.7147971459242024, 0.3746747065376832, 1.1598077192595988]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[-0.23526439221000528], [-0.9289847584256407], [1.112011682123591], [0.6185511787432256], [0.6291141801078938]]",[0.0]
