Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.4922778328176927, 0.16574440273044622, 0.02479102328510638, 0.1677134874102413, -0.6765353678043973], [-1.4623125185487318, 0.6442314580593929, 0.9847568750326166, 0.38810581597529364, -0.02161759650784333]]","[0.0, 0.0, 0.0, 0.0, 0.08790766138188588]","[[-0.7480878515218796], [0.5167619299105615], [0.6468428348453112], [-0.13682996516248597], [0.6504347198632894]]",[0.0004937632369392695]
2,"[[-0.4246172066764786, -0.20128115270169808, 0.28160233747389274, 0.33576374232732553, 0.6944793626985526], [0.8879162527813333, -1.0407281974588534, 0.004452124810667563, -0.6619387812164274, 0.20318622973116535]]","[0.022025371997286828, 0.07089516661301724, 0.0011168268071191005, 0.0, 0.0]","[[0.9365700207922603], [0.4038150243775985], [-0.20694963574403002], [0.4845101104705964], [0.6463943857149386]]",[0.0]
3,"[[0.23236864467778068, -0.7604439451409523, 0.33954504964760557, 0.09058935319390717, 0.39198355743198166], [-0.1967701629837922, -0.6617122108827129, 0.4263865238916557, 0.26847452642228486, -1.0121930499501395]]","[-0.015525021024982714, 0.002813574583060869, 0.0, 0.0, -0.18474691502607068]","[[-0.6805823879605367], [-0.3808133619605927], [0.8924846731521097], [0.8631792489035377], [0.11087898478033718]]",[0.0]
4,"[[-0.4552779697973851, 0.41470949691249936, -0.644422837572783, 0.4686725416728107, -0.4551742680355605], [-0.1844218778039362, 1.0009702184114853, -0.011489170890948256, 0.128456447747035, -0.00765028763933785]]","[0.0, 0.0, 0.0, -0.011239618919010501, 0.0015440145428803932]","[[0.5179047234282373], [0.8480199303576208], [0.42651111094667127], [-0.34321014674063677], [-1.6576874852499066]]",[0.0]
