Model,Data,RMSE,MAE,MAPE
GANN,Latih,54.42,40.78,0.59
GANN,Uji,59.13,44.87,0.64
GADAM,Latih,53.87,40.56,0.59
GADAM,Uji,58.46,45.06,0.64
ADAM,Latih,103.89,83.78,1.21
ADAM,Uji,148.03,128.08,1.8
