Model,Data,RMSE,MAE,MAPE
GANN,Latih,55.96,41.49,0.6
GANN,Uji,65.94,48.4,0.7
GADAM,Latih,54.75,41.19,0.6
GADAM,Uji,65.56,48.84,0.7
ADAM,Latih,89.67,72.66,1.04
ADAM,Uji,123.87,105.99,1.48
