Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.0953265444625448, 0.24492354067138256, 0.15931700187080455, -0.037996845141467436, 0.15959998081630117], [-0.786016681536525, 0.19462664174921662, -0.0744697838641186, 0.6279984770834455, 0.5535848277313652]]","[0.13210003189570593, 0.0, 0.0, 0.0, 0.0]","[[0.646822995367613], [-0.31014198193710996], [0.3004620056573407], [0.7349662845625993], [0.9467073935018624]]",[0.0]
2,"[[0.044719709398689855, 0.46322848685912843, -0.5036727871298984, -0.4265327390625835, -0.5357398250724486], [0.9352778651835157, 0.13465739855883832, -0.21840951597382297, 0.10501100367651811, -0.20537128173744218]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[1.0291487899441496], [0.03270681085138638], [-0.24473628830993532], [0.38628707764470926], [0.09939545215983638]]",[0.0]
3,"[[0.11198488666235255, -0.00909385139545373, -0.5690288603157435, -0.7185011185058306, -0.2765628879060488], [0.903981942622514, -0.778926388602031, 0.047267575564801434, 0.2115710676773747, -0.7515028807781566]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.9784539443694863], [-0.09522805568089943], [-0.9425585131682113], [-1.0431934689753835], [-0.27905812136195846]]",[0.0]
4,"[[-1.5180579342674259, 0.7734874018830056, 0.11268652910224239, 0.1605183582978349, -0.1451402246432138], [0.6753221341576092, -0.0751433979427209, -0.13824051291583345, 0.15430355535994955, 0.6482534860863214]]","[0.0, -0.08255205660111646, 0.2730878796013857, 0.0, 0.0]","[[0.25634038942101633], [0.7201282699809969], [0.19419222064926717], [0.5793240942997698], [0.6779422200769203]]",[0.0]
