Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[0.4067169863731289, -0.5688416595848889, -0.9207611504433186, 0.8150453103274902, -0.3915833921435236], [0.7012523732689713, 0.47387466544645196, 0.8698388624918274, -0.8984698529888878, 0.23304235911899612]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.9046608286868933], [0.8797302364044032], [0.14430781951715252], [-0.5171162029340288], [0.31962684205373443]]",[0.0]
2,"[[0.6069714924701122, -0.3892052192089242, 0.23231145985830953, 0.4927186012911152, -0.14221341255125136], [-0.35808650357558874, 0.6064361471701881, -1.7107043175724717, 0.2701240214693179, 0.28278156523910786]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[-0.6324200535080572], [0.16842895181739595], [1.1008928533544873], [1.3187180747204685], [0.7563078760704465]]",[0.0]
3,"[[0.08039832914570406, -0.30326494625791817, 1.0482392062885268, 0.40545671741410005, -1.018113781925802], [0.07760987557968663, -0.01952150598835657, 0.14293294870326906, 1.0814166017305356, -0.6045731763824057]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[-0.28280766839638954], [0.2998398022950802], [-0.19112568490906254], [0.8570172374654554], [-0.7089457629018748]]",[0.0]
4,"[[0.1230992561380851, 0.055312056165744694, -0.11217765549210904, -0.08568192210897366, -0.23605361628344723], [0.11942572599341544, -0.31112980349472974, 2.2784293489953757, -0.791480878722102, -1.0312550581679687]]","[0.0, 0.0, 0.0, 0.0, 0.09781252463900053]","[[0.6366784341153552], [0.7066389313270675], [0.38817356753630505], [0.3632754901068775], [0.5637250800357322]]",[0.0]
