Model,Data,RMSE,MAE,MAPE
GANN,Latih,53.9,40.56,0.59
GANN,Uji,57.05,43.39,0.62
GADAM,Latih,53.67,40.5,0.59
GADAM,Uji,57.62,44.21,0.63
ADAM,Latih,90.82,74.25,1.07
ADAM,Uji,125.1,104.77,1.48
