Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.35813554896255395, 0.9311592690315182, 0.624591807468763, -0.3651777608964242, 0.24515169582265545], [0.8547130584632275, -0.12253943074206367, 1.2656332934642285, 0.5096172920869135, 0.2347415581444382]]","[0.09079423168257969, -0.023866562447064883, 0.0, 0.0, 0.0]","[[0.19617076053847932], [-0.22805459566716013], [0.5406169174434716], [0.18181219906711232], [0.006180527180891238]]",[0.0]
2,"[[0.28226139078640994, 0.25109791489979355, -1.486572187074814, -0.15023050033137025, -0.7354910631809988], [-0.3171615159152825, 1.4838924210253808, 0.2694085249026099, -0.05549260780435608, 0.2516911255977593]]","[0.0006411578443671332, 0.0, 0.03242321361882898, 0.0, 0.0899974481208946]","[[-0.3609767107216971], [0.569979339282364], [-1.4267398652024341], [-0.63013768567647], [0.8750760278847962]]",[0.0]
3,"[[0.6863551818933449, 0.5149108809588732, -0.9406700389312891, -0.1771495696823135, 0.16905009509801505], [-0.07415277869215295, 1.5697554148938535, 0.5955435129059958, -0.16011434441395572, 0.06841971615367118]]","[0.0, 0.0, 0.0, 0.0, 0.023685111944273772]","[[-0.25448388980556824], [0.5395492187628508], [0.8636588760213652], [-1.060245407149536], [0.1006420442168933]]",[0.0]
4,"[[0.2856698852236488, -0.11486015086509943, 0.12469976000696029, -0.4754686887714692, 0.29801631878852797], [0.8143385626367436, 0.7147026113171282, -0.15372705135522996, -0.26137129665904585, 0.41254866714086824]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.39011016223028316], [0.6505952185177977], [-0.5474067826190034], [-0.3724461955215088], [0.24920296572099251]]",[0.0]
