Fold,Input_to_Hidden,Bias_to_Hidden,Hidden_to_Output,Bias_to_Output
1,"[[-0.07188004251285215, -0.19242379158745485, 0.397659834225487, -0.06331216363067996, 0.3903727536231181], [0.6116928842531046, -0.07578292933784753, -0.20622452924590162, 0.6725206094684462, 0.6464383733016774]]","[0.0, 0.0, 0.0, 0.0, 0.19766437840737983]","[[0.9510696259618877], [0.733989761597958], [0.4835228119539694], [0.4761252244975882], [0.08538959177439674]]",[0.0]
2,"[[-0.24416164358844356, 0.5766895939654414, 0.09815040762669601, 0.35087141250795584, -0.34797379955712493], [0.7957772547885499, -0.24767410005092239, 0.6384358494315698, -0.38094320049637864, -0.7239060996411423]]","[0.003809985075396216, 0.0, 0.0, 0.0, 0.19926540664833983]","[[0.5578636981125479], [0.28169684864748], [0.7800903465596656], [-0.8017424242337862], [0.3169624203025371]]",[0.0]
3,"[[-0.10327485815411915, -0.449354372382938, 0.6044406025357502, -0.382770014594845, 0.855145378805835], [-0.09999828455984792, 0.7688691196323287, 0.7428519671748175, 0.3203457375364869, 0.7605307799778971]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.48959510368553083], [0.6862401837073937], [0.16611654584818492], [0.4827756955605499], [0.33978860984144055]]",[0.0]
4,"[[0.3667663325316849, -1.275924406905816, 0.08452738694856787, -0.766814341158338, -2.4391072315908358], [1.4829510928317384, 0.9229456652929287, -0.2489457697344663, 0.26209800113257403, -0.21108264500192295]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[0.5369475122425279], [0.45364297204704845], [0.08023125250974862], [-0.27129244075823405], [0.11124789993410918]]",[0.0]
