Model,Data,RMSE,MAE,MAPE
GANN,Latih,54.16,40.52,0.59
GANN,Uji,63.77,46.76,0.67
GADAM,Latih,53.71,40.38,0.58
GADAM,Uji,63.62,46.88,0.67
ADAM,Latih,160.12,131.17,1.88
ADAM,Uji,248.87,210.12,2.91
