Date,Close,Diff1
2022-01-03,6665.31,
2022-01-04,6695.37,30.05999999999949
2022-01-05,6662.3,-33.06999999999971
2022-01-06,6653.35,-8.949999999999818
2022-01-07,6701.32,47.969999999999345
2022-01-10,6691.12,-10.199999999999818
2022-01-11,6647.97,-43.149999999999636
2022-01-12,6647.06,-0.9099999999998545
2022-01-13,6658.36,11.299999999999272
2022-01-14,6693.4,35.039999999999964
2022-01-17,6645.05,-48.349999999999454
2022-01-18,6614.06,-30.98999999999978
2022-01-19,6591.98,-22.080000000000837
2022-01-20,6626.87,34.89000000000033
2022-01-21,6726.37,99.5
2022-01-24,6655.17,-71.19999999999982
2022-01-25,6568.17,-87.0
2022-01-26,6600.82,32.649999999999636
2022-01-27,6611.16,10.340000000000146
2022-01-28,6645.51,34.350000000000364
2022-01-31,6631.15,-14.360000000000582
2022-02-02,6707.65,76.5
2022-02-03,6683.85,-23.799999999999272
2022-02-04,6731.39,47.539999999999964
2022-02-07,6804.94,73.54999999999927
2022-02-08,6789.52,-15.419999999999163
2022-02-09,6834.61,45.089999999999236
2022-02-10,6823.64,-10.969999999999345
2022-02-11,6815.61,-8.030000000000655
2022-02-14,6734.49,-81.11999999999989
2022-02-15,6807.5,73.01000000000022
2022-02-16,6850.2,42.69999999999982
2022-02-17,6835.12,-15.079999999999927
2022-02-18,6892.82,57.69999999999982
2022-02-21,6902.96,10.140000000000327
2022-02-22,6861.99,-40.970000000000255
2022-02-23,6920.06,58.07000000000062
2022-02-24,6817.82,-102.24000000000069
2022-02-25,6888.17,70.35000000000036
2022-03-01,6921.44,33.26999999999953
2022-03-02,6868.4,-53.039999999999964
2022-03-04,6928.33,59.93000000000029
2022-03-07,6869.07,-59.26000000000022
2022-03-08,6814.18,-54.88999999999942
2022-03-09,6864.44,50.25999999999931
2022-03-10,6924.01,59.57000000000062
2022-03-11,6922.6,-1.4099999999998545
2022-03-14,6952.2,29.599999999999454
2022-03-15,6918.19,-34.01000000000022
2022-03-16,6992.4,74.21000000000004
2022-03-17,6964.38,-28.019999999999527
2022-03-18,6954.96,-9.420000000000073
2022-03-21,6955.18,0.22000000000025466
2022-03-22,7000.82,45.63999999999942
2022-03-23,6996.12,-4.699999999999818
2022-03-24,7049.69,53.56999999999971
2022-03-25,7002.53,-47.159999999999854
2022-03-28,7049.6,47.07000000000062
2022-03-29,7011.69,-37.910000000000764
2022-03-30,7053.19,41.5
2022-03-31,7071.44,18.25
2022-04-01,7078.76,7.3200000000006185
2022-04-04,7116.22,37.460000000000036
2022-04-05,7148.3,32.07999999999993
2022-04-06,7104.22,-44.07999999999993
2022-04-07,7127.37,23.149999999999636
2022-04-08,7210.83,83.46000000000004
2022-04-11,7203.79,-7.039999999999964
2022-04-12,7214.78,10.989999999999782
2022-04-13,7262.78,48.0
2022-04-14,7235.53,-27.25
2022-04-18,7275.29,39.76000000000022
2022-04-19,7199.23,-76.0600000000004
2022-04-20,7227.36,28.13000000000011
2022-04-21,7276.19,48.82999999999993
2022-04-22,7225.61,-50.57999999999993
2022-04-25,7215.98,-9.63000000000011
2022-04-26,7232.15,16.170000000000073
2022-04-27,7196.76,-35.38999999999942
2022-04-28,7228.91,32.149999999999636
2022-05-09,6909.75,-319.15999999999985
2022-05-10,6819.79,-89.96000000000004
2022-05-11,6816.2,-3.5900000000001455
2022-05-12,6599.84,-216.35999999999967
2022-05-13,6597.99,-1.8500000000003638
2022-05-17,6644.47,46.48000000000047
2022-05-18,6793.41,148.9399999999996
2022-05-19,6823.33,29.920000000000073
2022-05-20,6918.14,94.8100000000004
2022-05-23,6840.77,-77.36999999999989
2022-05-24,6914.14,73.36999999999989
2022-05-25,6883.5,-30.640000000000327
2022-05-27,7026.26,142.76000000000022
2022-05-30,7037.56,11.300000000000182
2022-05-31,7148.97,111.40999999999985
2022-06-02,7148.72,-0.25
2022-06-03,7182.96,34.23999999999978
2022-06-06,7096.58,-86.38000000000011
2022-06-07,7141.04,44.460000000000036
2022-06-08,7193.31,52.27000000000044
2022-06-09,7182.83,-10.480000000000473
2022-06-10,7086.65,-96.18000000000029
2022-06-13,6995.44,-91.21000000000004
2022-06-14,7049.88,54.44000000000051
2022-06-15,7007.05,-42.82999999999993
2022-06-16,7050.33,43.279999999999745
2022-06-17,6936.97,-113.35999999999967
